run_id,timestamp_utc,oare_id,status,reason,expected_clue_rows,produced_pairs,accepted_first_pass_pairs,rejected_not_substring,rejected_duplicate,rejected_order,rejected_overlap,second_pass_added_pairs,second_pass_error,leftover_source_text,leftover_target_text
20260323T164329Z,2026-03-23T16:43:59.570596+00:00,004a7dbd-57ce-46f8-9691-409be61c676e,llm_error,Model response was not valid JSON,4,0,,,,,,,,,
20260323T164419Z,2026-03-23T16:44:37.968008+00:00,004a7dbd-57ce-46f8-9691-409be61c676e,completed,ok,4,3,3.0,1.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:46:16.165186+00:00,009fb838-8038-42bc-ad34-5f795b3840ee,llm_error,Model response was not valid JSON,3,0,,,,,,,,,
20260323T164546Z,2026-03-23T16:46:44.908078+00:00,0126cd13-acf7-4cd5-8373-f1e7b54d824e,llm_error,Model response was not valid JSON,7,0,,,,,,,,,
20260323T164546Z,2026-03-23T16:46:51.826245+00:00,01cc1406-fc42-4252-aeae-6b4538b069c5,completed,ok,2,0,0.0,2.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:47:19.828418+00:00,020aa8bd-69a4-43a9-8120-efd9e587bb1c,completed,ok,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,i-ku-pí-a ù en-um-a-šur iṣ-bu-tù-ni-a-tí-ma um-ma i-ku-pì-a-ma a-na en-um-a-šur-ma 5 GÚ URUDU ma-sí-am ša-bu-ra-am ḫu-ub-lam-ma PUZUR₄-{d}UTU li-pu-ul-kà 5 GÚ URUDU ma-sí-am ša-bu-ra-am en-um-a-šur a-na i-ku-pí-a iḫ-bu-ul-ma PUZUR₄-{d}UTU en-um-a-šur e-pu-ul um-ma PUZUR₄-{d}UTU-ma a-na 15 u₄-me-e 5 GÚ URUDU-a-kà a-na-ku a-ša-qá-lá-ku-um um-ma en-um-a-šur-ma šu-ma-ba i-na 15 u₄-me-e u₄-mu-ú mì-ma e-ta-at-qú um-ma i-ku-pí-a-ma 5 GÚ URUDU-a-kà ma-sí-am ša-bu-ra-am PUZUR₄-{d}UTU li-iš-qú-lá-kum a-na ṣí-ib-tim ma-lá u₄-mu e-tí-qú-ni-ni i-a-tí URUDU a-nim a-na 4 u₄-me DINGIR i-ša-ḫi-iṭ-ma ḫa-muš-tum ša {d}IM-ṣú-lu-li <gap> ITU.KAM ku-zal-li li-mu-um ṣí-lu-lu um-ma i-ku-pí-a-ma a-na en-um-a-šur-ma i-nu-mì a-na pu-ru-uš-ḫa-dim té-ra-ba-ni ù a-ta ša KÙ.BABBAR 1 ma-na ù 2 ma-na a-na-aḫ-ta-kà ta-lá-qé-ma ù a-na-ku lá-ag-mì-il₅-kà a-na a-wa-tim a-ni-a-tim kà-ru-um wa-aḫ-šu-ša-na i-dí-ni-a-tí-ma IGI GÍR ša a-šu,"Ikūn-pīya and Ennam-Aššur seized us, and Ikūn-pīya said to Ennam-Aššur: Lend me 5 talents of washed, broken copper, and have Puzur-Šamaš reimburse you."" Ennam-Aššur lent 5 talents of washed, broken copper to Ikūn-pīya and Puzur-Šamaš should reimburse Ennam-Aššur. Puzur-Šamaš said: ""Within 15 days I shall personally pay you your 5 talents of copper."" Ennam-Aššur answered: ""What then if indeed on the 15th day your terms become exceeded at all?"" Ikūn-pīya answered: ""Let Puzur-Šamaš pay you your 5 talents of washed, broken copper. As for the interest, as much as the term is exceeded this copper is my obligation."" In 4 days the god will rise and it is the week of Adad-ṣulūlī <gap> month Kuzallu, eponymy Ṣilūlu. Ikūn-pīya continued saying to Ennam-Aššur: ""When you arrive at Purušhaddum, then you will personally receive your earnings from 1 or 2 minas of silver, and thus I shall do you a favour myself."" The Wahšušana colony gave us for these proceedings and we gave our testimony before Aššur's dagger. Witnessed by Aššur-idī, by Elāli; Puzur-ilī son of Balzuenum was our (absent) partner. """
20260323T164546Z,2026-03-23T16:47:22.518794+00:00,02f0ecc7-746b-449d-803c-c05ebbda2336,completed,ok,1,0,0.0,1.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:47:40.625105+00:00,03826c8c-3727-4caf-b781-1cc5f6ab56e6,completed,ok,2,1,1.0,1.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:47:48.548533+00:00,03afa072-8f71-4403-b303-086f6097db3f,completed,ok,6,7,7.0,0.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:48:17.276459+00:00,041c9029-8f6f-40f8-989b-77a75878221c,llm_error,Model response was not valid JSON,1,0,,,,,,,,,
20260323T164546Z,2026-03-23T16:48:42.896868+00:00,0480d321-8019-4775-bb29-5ac41b659c02,completed,ok,7,2,2.0,4.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:49:06.306305+00:00,05083743-603f-48b5-a6c7-f089ed845d94,completed,ok,8,0,0.0,0.0,0.0,0.0,0.0,0.0,,a-na a-ta-ta ù kà-nu-tim qí-bi₄-ma um-ma a-na-aḫ-ì-lí-ma 0.5 ma-na KÙ.KI ù 1.5 ma-na KÙ.BABBAR ša kà-nu-tim ša il₅-ba-ni ki-ma kà-nu-tim KÙ.BABBAR ip-qí-da-ni a-na-kam a-lá-bu-um ú-ni-ḫi-ma KÙ.BABBAR 1 ma-na ú-ša-ag-me-er a-na a-lim{ki} im-ta-ša-ra-ni-ma i-na dí-in a-lim{ki} KÙ.BABBAR ú KÙ.KI a-lá-bu-um i-lá-qé-ma a-na a-wa-at kà-nu-tim lá-bu-um i-za-az šu-ma kà-nu-tum a-na a-na-aḫ-ì-lí ta-tù-wa-ar a-lá-bu-um ú-ša-ḫa-sú-ú KÙ.BABBAR ú KÙ.KI šu-ut a-na É a-lim{ki} a-na ḫu-bu-ul ili₅-ba-ni i-ší-qí-il₅ a-ma-kam a-le té-er-tí ili₅-ba-ni i-ba-ší-ú ša 0.5 ma-na KÙ.KI pá-ša-lamₓ ù 1.5 ma-na KÙ.BABBAR ú ší-a-ma-tí-šu ṣa-áb-ta-ma mì-ṣí-a-ma li-qí-a ṭup-pá-am ša a-lim{ki} da-nam ša ki-ma KÙ.KI ú KÙ.BABBAR ša kà-nu-tí-ni ú-kà-al ú šu-ma ku-li-a i-lá-kam-ma a-wa-tim ú-ga-mar a-dí a-lá-kà-ni i-ta-ba-lá-šu a-wa-tim lá tù-ga-ma-ra,"Say to Atata and Kannutum, thus Anah-ili: ""(As for the) 0.5 mina of gold and 1.5 mina of silver, belonging to Kannutum, which silver Ili-bani, representing Kannutum, entrusted to me - here Ali-abum has caused me trouble and caused expenses of 1 mina of silver. He has now dragged me before the City and by verdict of the City Ali-abum will take that silver and gold and Ali-abum will be responsible for Kannutum's interests. Should Kannutum come back on Anah-ili, then Ali-abum will clear him. The aforementioned silver and gold have been paid to the City Office for (to cover) Ili-bani's debts. Over there, wherever goods ordered by Ili-bani are available, seize for a value of 0.5 mina of pa-sallum gold and 1.5 mina of silver or what has been bought for it and take it at your own responsibility. I have a strong tablet of the City stating that the silver and gold belong to Kannutum. And if Kuliya comes in order to settle the affair, hold him in play until I arrive, do not settle the affair!"""
20260323T164546Z,2026-03-23T16:49:07.936115+00:00,06ec260a-bcc5-4762-b2ee-dfbc10cfbfbe,completed,ok,1,1,1.0,0.0,0.0,0.0,0.0,0.0,,,
20260323T164546Z,2026-03-23T16:49:36.632754+00:00,091abe17-bf55-4912-b402-15442365622a,llm_error,Model response was not valid JSON,1,0,,,,,,,,,
20260323T164546Z,2026-03-23T16:50:05.663728+00:00,099eb63c-4a3c-4bca-baf4-705a46083a49,llm_error,Model response was not valid JSON,11,0,,,,,,,,,
20260323T164546Z,2026-03-23T16:50:11.740326+00:00,0ac28a97-2e12-418e-89e7-87b30b6724f9,completed,ok,13,0,0.0,13.0,0.0,0.0,0.0,0.0,,,
