document_id,unmatched_source,reason
0064939c-59b9-4448-a63d-34612af0a1b5,train_only,no_sentence_map_id_match
0073f2c0-524c-4bbf-915a-8c1772a4fb98,train_only,no_sentence_map_id_match
00aa1c55-c80c-4346-a159-73ad43ab0ff7,train_only,no_sentence_map_id_match
00f0d841-eb7a-46f8-86fc-bf9fd7d52cbf,train_only,no_sentence_map_id_match
0123a9b9-e81e-4d7a-a79b-10e7c0aacbb9,train_only,no_sentence_map_id_match
017c5be4-f459-4ef5-a045-5933e79c01f9,train_only,no_sentence_map_id_match
01cdba65-cee2-4988-b0ee-02dad64dbb5f,train_only,no_sentence_map_id_match
0225bc1b-0bca-4fdc-820e-691e96f08e25,train_only,no_sentence_map_id_match
02351a98-b66c-42eb-90a7-11d834afe8e8,train_only,no_sentence_map_id_match
025cc1cc-8958-4757-9bc3-99f5746846dc,train_only,no_sentence_map_id_match
02679472-38ae-4f0b-a3cb-c3ae24e6d239,train_only,no_sentence_map_id_match
02d16b63-3fab-4c1d-8262-4cd74f6532f1,train_only,no_sentence_map_id_match
02de3489-7e0e-40fb-878d-141b28b7d6ff,train_only,no_sentence_map_id_match
02df45ee-6d74-46fb-9870-3e546ce7d304,train_only,no_sentence_map_id_match
0309d067-0bb7-40f6-9d27-1dfb0c60e507,train_only,no_sentence_map_id_match
035670c1-3504-4084-a2e6-1ff68ade4c74,train_only,no_sentence_map_id_match
03f9ecf0-9c9e-461a-821c-aa0cde9398d3,train_only,no_sentence_map_id_match
0441d9a0-cf79-4cd3-85d2-bb57fe44a6e8,train_only,no_sentence_map_id_match
04810846-95dd-4ff0-bd99-33a1da243065,train_only,no_sentence_map_id_match
0489c21d-108d-404f-a50c-d040ee16674b,train_only,no_sentence_map_id_match
04939319-b287-455f-9634-e86658e6e392,train_only,no_sentence_map_id_match
04dd324f-120e-44fd-9dbd-93a144906902,train_only,no_sentence_map_id_match
04e66f12-63a3-45ce-b27a-cc74cea47f60,train_only,no_sentence_map_id_match
05467017-cb12-40d3-8bf4-fc656b137fec,train_only,no_sentence_map_id_match
054fdba4-0cff-4153-969d-c77e42413e1c,train_only,no_sentence_map_id_match
0556fc5f-3705-46a0-a91a-838884587bc7,train_only,no_sentence_map_id_match
05ff2933-154f-4144-bda0-6fd4217fd00f,train_only,no_sentence_map_id_match
0677963f-3fac-4d49-b13e-9d6322bf6fb1,train_only,no_sentence_map_id_match
0685c421-0ca7-4d48-9e3e-ecd1fee4c2e6,train_only,no_sentence_map_id_match
06a9a456-58e2-4fed-9687-913d824cadc4,train_only,no_sentence_map_id_match
06bcd3b4-2ea6-4f9e-9b7c-fba145ff4e9b,train_only,no_sentence_map_id_match
072fa62e-126a-4189-aa4f-c539b693ff07,train_only,no_sentence_map_id_match
074cc9ae-4858-41c9-9e43-2080efc0ab48,train_only,no_sentence_map_id_match
076bf725-426a-445c-8c5d-0386627c9458,train_only,no_sentence_map_id_match
0785386c-bea4-4fde-beef-bcb5dc63f220,train_only,no_sentence_map_id_match
07a52b72-c4d6-4aa2-8d1c-2e3ba0024509,train_only,no_sentence_map_id_match
